Wiek;Ogółem;Wyższe;Policealne;Średnie;Zasadnicze zawodowe;Gimnazjalne;Podstawowe
84;36041;4126;189;6798;3805;172;20180
85 lat i więcej;138824;15848;685;23862;13379;916;80221
Kobiety;17027406;3318774;597772;5261656;2770941;768226;3389127
15;211163;0;0;0;0;9341;195154
16;223520;0;0;0;0;152622;61810
17;235612;0;0;0;863;213524;11361
18;243695;0;0;21887;7821;197204;7884
19;256594;0;1216;122243;17932;97606;5928
20;266672;578;2163;195397;20260;28931;5238
21;269111;3220;5905;206899;18723;12741;5063
22;275582;55661;8160;159285;18249;9788;5338
23;285573;83818;10634;136352;18098;8139;5626
24;292108;113923;11361;109013;19580;6959;5580
25;309769;135471;11209;96461;24910;3743;8370
26;322095;146042;11315;90948;28796;1466;10276
27;333933;151848;11785;89828;32326;710;11488
28;329251;146336;11074;87593;35361;557;11822
29;313646;136857;10655;82061;37058;339;11969
30;314827;133979;11366;81179;40384;387;13177
31;314628;129453;11617;82419;44119;372;13697
32;307883;122997;11596;83197;46469;242;13764
33;301430;111806;11961;84466;51220;230;14426
34;303712;108867;13089;86347;54206;167;15578
35;296685;99288;12745;85870;57386;260;17185
36;286228;90257;11646;84054;60691;271;17502
37;273839;81201;10973;81349;62927;151;17327
38;264376;75055;10338;79477;63427;149;17200
39;255560;69332;10225;78008;64198;198;17002
40;245568;62775;9970;75329;62984;170;18305
41;237903;58088;9194;74066;62832;153;18749
42;233626;55145;9171;72753;63227;208;19350
43;230458;51140;8930;73064;63022;161;20307
44;232932;50030;9689;74828;63342;132;21518
45;234415;48984;9444;77254;64829;110;21006
46;238638;47868;9376;81881;65741;186;20657
47;245057;48160;9868;85314;67615;149;20972
48;249264;47838;11124;86428;68705;132;22613
49;258396;46040;13824;92002;69340;170;24827
50;269704;45104;15984;96012;72405;164;27905
51;291842;46448;17747;105697;77261;159;32225
52;303674;46972;19386;109555;78800;160;36848
53;314308;46056;20206;112393;80175;180;43050
54;308415;45117;18893;109052;76847;175;47234
55;313073;42744;17698;111302;77261;281;52961
56;306857;39910;15501;110778;75144;264;55137
57;301869;37127;15670;109504;73604;265;56368
58;294217;35087;13463;109289;68364;227;58895
59;296069;35085;12752;107261;70921;283;61780
60;281869;34286;13273;98160;63579;284;65037
61;269270;32331;11915;92670;58433;236;66746
62;258468;30566;11214;87620;53694;285;68514
63;245263;28867;10859;81293;47876;272;70319
64;227121;27357;10182;71939;43104;326;68940
65;171132;20208;7305;50530;29151;305;59905
66;153010;16664;5743;44177;23726;266;59063
67;157794;16935;5348;41889;22736;269;67177
68;145414;15268;4713;36969;18059;182;67219
69;153200;15623;4620;38940;15763;399;74638
70;156886;15042;4264;40421;14685;433;78613
71;166831;15802;4071;43413;15865;487;83614
72;161839;13697;3833;42688;14707;480;83106
73;158857;12881;3367;41788;14189;584;82660
74;159519;12113;2975;43077;13488;637;83991
75;156306;11667;2363;41289;12957;603;84098
76;147919;9601;1998;37559;11901;655;83016
77;142436;8668;1723;34579;10699;748;82915
78;138998;7900;1467;30722;9540;873;85313
79;137759;6843;1426;27919;8641;1119;88714
80;135122;6462;1121;25498;7212;1149;90236
81;121011;5108;1020;20073;6232;888;84413
82;109808;4577;716;17055;5682;945;78020
83;97301;3700;697;13329;4669;721;71398
84;87484;3356;454;11893;3632;821;64506
85 lat i więcej;393012;11547;2182;48074;13297;4437;296485
Miasto;20166869;4415853;633519;6617126;3841341;877553;2588408
15;229498;0;0;0;0;11523;208290
16;246387;0;0;0;0;159344;73391
17;260951;0;0;0;948;225909;19857
18;269662;0;0;23703;6427;214028;12826
19;291397;0;1557;128563;19074;116312;9818
20;310968;524;2478;209948;26526;43247;8724
21;318361;2900;5761;230319;25359;23014;8801
22;329605;54090;8762;191197;24845;17974;8977
23;345547;84960;11426;171402;25879;15316;8917
24;355484;119747;12458;144130;27279;12877;8626
25;382757;152527;13519;129634;33405;6731;12255
26;403690;169751;13468;125984;37936;2709;14796
27;421985;183006;14601;121591;42529;1352;15967
28;418196;180098;13157;116567;46508;887;16886
29;399915;169495;12840;109015;48438;639;16129
30;403596;170472;13020;106187;51734;607;16556
31;405052;167482;12840;109092;55792;523;16917
32;396082;159293;12067;109505;58712;384;16909
33;385194;148288;12633;108791;63180;257;16265
34;387221;143884;13488;111493;66803;300;17143
35;373586;131526;13251;109337;70150;307;16821
